time=2025-06-12T16:44:23.241+05:30 level=INFO msg="Server starting on :8080"
time=2025-06-12T16:56:29.620+05:30 level=INFO msg="received request" method=GET path=/calculate ip=[::1]:55970
time=2025-06-12T16:56:29.636+05:30 level=INFO msg="received request" method=GET path=/calculate ip=[::1]:55971
time=2025-06-12T16:56:29.652+05:30 level=INFO msg="received request" method=GET path=/calculate ip=[::1]:55972
time=2025-06-12T16:56:29.670+05:30 level=INFO msg="received request" method=GET path=/calculate ip=[::1]:55973
time=2025-06-12T16:56:29.685+05:30 level=INFO msg="received request" method=GET path=/calculate ip=[::1]:55974
time=2025-06-12T16:56:29.701+05:30 level=INFO msg="received request" method=GET path=/calculate ip=[::1]:55975
time=2025-06-12T16:56:29.714+05:30 level=INFO msg="received request" method=GET path=/calculate ip=[::1]:55976
time=2025-06-12T16:56:29.730+05:30 level=INFO msg="received request" method=GET path=/calculate ip=[::1]:55977
time=2025-06-12T16:56:29.747+05:30 level=INFO msg="received request" method=GET path=/calculate ip=[::1]:55978
time=2025-06-12T16:56:29.761+05:30 level=INFO msg="received request" method=GET path=/calculate ip=[::1]:55979
time=2025-06-12T16:56:29.776+05:30 level=INFO msg="received request" method=GET path=/calculate ip=[::1]:55980
time=2025-06-12T16:56:29.795+05:30 level=INFO msg="received request" method=GET path=/calculate ip=[::1]:55981
time=2025-06-12T16:56:29.810+05:30 level=INFO msg="received request" method=GET path=/calculate ip=[::1]:55982
time=2025-06-12T16:56:29.827+05:30 level=INFO msg="received request" method=GET path=/calculate ip=[::1]:55983
time=2025-06-12T16:56:29.845+05:30 level=INFO msg="received request" method=GET path=/calculate ip=[::1]:55984
time=2025-06-12T16:56:29.863+05:30 level=INFO msg="received request" method=GET path=/calculate ip=[::1]:55985
time=2025-06-12T16:56:29.883+05:30 level=INFO msg="received request" method=GET path=/calculate ip=[::1]:55986
time=2025-06-12T16:56:29.901+05:30 level=INFO msg="received request" method=GET path=/calculate ip=[::1]:55987
time=2025-06-12T16:56:29.915+05:30 level=INFO msg="received request" method=GET path=/calculate ip=[::1]:55988
time=2025-06-12T16:56:29.931+05:30 level=INFO msg="received request" method=GET path=/calculate ip=[::1]:55989
time=2025-06-12T16:56:29.948+05:30 level=INFO msg="received request" method=GET path=/calculate ip=[::1]:55990
time=2025-06-12T16:56:29.964+05:30 level=INFO msg="received request" method=GET path=/calculate ip=[::1]:55991
time=2025-06-12T16:56:29.980+05:30 level=INFO msg="received request" method=GET path=/calculate ip=[::1]:55992
time=2025-06-12T16:56:29.997+05:30 level=INFO msg="received request" method=GET path=/calculate ip=[::1]:55993
time=2025-06-12T16:56:30.012+05:30 level=INFO msg="received request" method=GET path=/calculate ip=[::1]:55994
time=2025-06-12T16:56:30.028+05:30 level=INFO msg="received request" method=GET path=/calculate ip=[::1]:55995
time=2025-06-12T16:56:30.045+05:30 level=INFO msg="received request" method=GET path=/calculate ip=[::1]:55996
time=2025-06-12T16:56:30.060+05:30 level=INFO msg="received request" method=GET path=/calculate ip=[::1]:55997
time=2025-06-12T16:56:30.076+05:30 level=INFO msg="received request" method=GET path=/calculate ip=[::1]:55998
time=2025-06-12T16:56:30.114+05:30 level=INFO msg="received request" method=GET path=/calculate ip=[::1]:55999
time=2025-06-12T16:56:30.143+05:30 level=INFO msg="received request" method=GET path=/calculate ip=[::1]:56000
time=2025-06-12T16:56:30.166+05:30 level=INFO msg="received request" method=GET path=/calculate ip=[::1]:56001
time=2025-06-12T16:56:30.186+05:30 level=INFO msg="received request" method=GET path=/calculate ip=[::1]:56002
time=2025-06-12T16:56:30.206+05:30 level=INFO msg="received request" method=GET path=/calculate ip=[::1]:56003
time=2025-06-12T16:56:30.227+05:30 level=INFO msg="received request" method=GET path=/calculate ip=[::1]:56004
time=2025-06-12T16:56:30.248+05:30 level=INFO msg="received request" method=GET path=/calculate ip=[::1]:56005
time=2025-06-12T16:56:30.265+05:30 level=INFO msg="received request" method=GET path=/calculate ip=[::1]:56006
time=2025-06-12T16:56:30.284+05:30 level=INFO msg="received request" method=GET path=/calculate ip=[::1]:56007
time=2025-06-12T16:56:30.305+05:30 level=INFO msg="received request" method=GET path=/calculate ip=[::1]:56008
time=2025-06-12T16:56:30.325+05:30 level=INFO msg="received request" method=GET path=/calculate ip=[::1]:56009
time=2025-06-12T16:56:30.343+05:30 level=INFO msg="received request" method=GET path=/calculate ip=[::1]:56010
time=2025-06-12T16:56:30.358+05:30 level=INFO msg="received request" method=GET path=/calculate ip=[::1]:56011
time=2025-06-12T16:56:30.374+05:30 level=INFO msg="received request" method=GET path=/calculate ip=[::1]:56012
time=2025-06-12T16:56:30.392+05:30 level=INFO msg="received request" method=GET path=/calculate ip=[::1]:56013
time=2025-06-12T16:56:30.409+05:30 level=INFO msg="received request" method=GET path=/calculate ip=[::1]:56014
time=2025-06-12T16:56:30.424+05:30 level=INFO msg="received request" method=GET path=/calculate ip=[::1]:56015
time=2025-06-12T16:56:30.444+05:30 level=INFO msg="received request" method=GET path=/calculate ip=[::1]:56016
time=2025-06-12T16:56:30.460+05:30 level=INFO msg="received request" method=GET path=/calculate ip=[::1]:56017
time=2025-06-12T16:56:30.477+05:30 level=INFO msg="received request" method=GET path=/calculate ip=[::1]:56018
time=2025-06-12T16:56:30.495+05:30 level=INFO msg="received request" method=GET path=/calculate ip=[::1]:56019
time=2025-06-12T16:56:30.511+05:30 level=INFO msg="received request" method=GET path=/calculate ip=[::1]:56020
time=2025-06-12T16:56:30.529+05:30 level=INFO msg="received request" method=GET path=/calculate ip=[::1]:56021
time=2025-06-12T16:56:30.563+05:30 level=INFO msg="received request" method=GET path=/calculate ip=[::1]:56022
time=2025-06-12T16:56:30.590+05:30 level=INFO msg="received request" method=GET path=/calculate ip=[::1]:56023
time=2025-06-12T16:56:30.612+05:30 level=INFO msg="received request" method=GET path=/calculate ip=[::1]:56024
time=2025-06-12T16:59:14.816+05:30 level=INFO msg="received request" method=GET path=/calculate ip=[::1]:56146
time=2025-06-12T17:02:59.959+05:30 level=INFO msg="received request" method=GET path=/calculate ip=[::1]:56365
